Sample   	CK0   	A3     	A2     	A2(7)	A2(6)	A2(5)	A2(4)	A2(3)	A2(2)	A2(1)	A2(0)	              Timestamp
      282	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      283	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      284	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      285	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      286	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      287	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      288	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      289	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      290	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      291	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      292	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      293	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      294	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      295	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      296	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      297	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      298	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      299	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      300	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      301	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      302	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      303	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      304	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      305	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      306	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      307	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      308	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      309	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      310	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      311	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      312	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
