Sample, CMD, SDCLK
1260, 0, 0
1262, 0, 1
1265, 0, 0
1267, 0, 1
1270, 0, 0
1272, 0, 1
1275, 0, 0
1277, 0, 1
1280, 0, 0
1282, 0, 1
1285, 0, 0
1287, 0, 1
1290, 0, 0
1292, 0, 1
1295, 0, 0
1297, 0, 1
1300, 0, 0
1302, 0, 1
1305, 0, 0
1307, 0, 1
1310, 0, 0
1312, 0, 1
1315, 0, 0
1317, 0, 1
1320, 1, 0
1322, 1, 1
1325, 0, 0
1327, 0, 1
1330, 0, 0
1332, 0, 1
1335, 1, 0
1337, 1, 1
1340, 0, 0
1342, 0, 1
1345, 0, 0
1347, 0, 1
1350, 0, 0
1352, 0, 1
1355, 0, 0
1357, 0, 1
1360, 0, 0
1362, 0, 1
1365, 0, 0
1367, 0, 1
1370, 1, 0
1372, 1, 1
1375, 0, 0
1377, 0, 1
1380, 0, 0
1382, 0, 1
1385, 1, 0
1387, 1, 1
1390, 1, 0
1392, 1, 1
1395, 1, 0
1397, 1, 1
1400, 1, 0
1402, 1, 1
1405, 1, 0
1407, 1, 1
1410, 1, 0
1412, 1, 1
1415, 1, 0
1417, 1, 1
1420, 1, 0
1422, 1, 1
1425, 1, 0
1427, 1, 1
1430, 1, 0
1432, 1, 1
1435, 1, 0
1437, 1, 1
1440, 1, 0
1442, 1, 1
1445, 1, 0
1447, 1, 1
1450, 1, 0
1452, 1, 1
1455, 1, 0
1457, 1, 1
1460, 1, 0
1462, 1, 1
1465, 1, 0
1467, 1, 1
1470, 1, 0
1472, 1, 1
1475, 1, 0
1477, 1, 1
1480, 1, 0
1482, 1, 1
1485, 1, 0
1487, 1, 1
1490, 1, 0
1492, 1, 1
1495, 1, 0
1497, 1, 1
1500, 1, 0
1502, 1, 1
1505, 1, 0
1507, 1, 1
1510, 1, 0
1512, 1, 1
1515, 1, 0
1517, 1, 1
1520, 1, 0
1522, 1, 1
1525, 1, 0
1527, 1, 1
1530, 1, 0
1532, 1, 1
1535, 1, 0
1537, 1, 1
1540, 1, 0
1542, 1, 1
1545, 1, 0
1547, 1, 1
1550, 1, 0
1552, 1, 1
1555, 1, 0
1557, 1, 1
1560, 1, 0
1562, 1, 1
1565, 1, 0
1567, 1, 1
1570, 1, 0
1572, 1, 1
1575, 1, 0
1577, 1, 1
1580, 1, 0
1582, 1, 1
1585, 1, 0
1587, 1, 1
1590, 1, 0
1592, 1, 1
1595, 1, 0
1597, 1, 1
1600, 1, 0
1602, 1, 1
1605, 1, 0
1607, 1, 1
1610, 1, 0
